2;127;
2;188;
3;127;
3;62;
3;188;
4;62;
5;62;
5;188;
6;32;
6;62;
6;114;
6;187;
6;188;
7;32;
7;114;
7;188;
8;18;
8;32;
8;35;
8;41;
8;52;
8;54;
8;70;
8;75;
8;114;
8;128;
8;188;
9;12;
9;24;
9;32;
9;37;
9;44;
9;52;
9;74;
9;85;
9;114;
9;137;
9;140;
9;187;
9;188;
10;6;
10;15;
10;21;
10;24;
10;32;
10;35;
10;47;
10;49;
10;50;
10;62;
10;69;
10;73;
10;126;
10;139;
10;148;
10;149;
10;150;
10;179;
10;187;
10;188;
10;193;
11;32;
12;7;
12;24;
12;35;
12;62;
12;169;
12;187;
12;189;
13;24;
13;47;
13;187;
14;29;
14;47;
14;143;
15;27;
15;42;
15;47;
15;64;
15;67;
15;71;
15;72;
15;77;
15;82;
15;100;
15;109;
15;112;
15;143;
15;153;
15;155;
15;158;
15;165;
15;177;
15;187;
16;2;
16;3;
16;4;
16;5;
16;10;
16;17;
16;19;
16;22;
16;31;
16;33;
16;34;
16;39;
16;40;
16;43;
16;46;
16;47;
16;55;
16;62;
16;63;
16;66;
16;76;
16;84;
16;93;
16;102;
16;104;
16;110;
16;117;
16;119;
16;120;
16;126;
16;129;
16;130;
16;131;
16;132;
16;142;
16;152;
16;156;
16;160;
16;161;
16;165;
16;170;
16;171;
16;180;
16;187;
16;192;
17;23;
17;26;
17;28;
17;45;
17;39;
17;53;
17;57;
17;58;
17;61;
17;68;
17;83;
17;97;
17;98;
17;99;
17;101;
17;103;
17;106;
17;116;
17;121;
17;123;
17;136;
17;145;
17;146;
17;147;
17;164;
17;167;
17;168;
17;172;
17;185;
17;187;
17;196;
17;197;
18;13;
18;16;
18;38;
18;48;
18;56;
18;59;
18;62;
18;65;
18;81;
18;87;
18;89;
18;94;
18;105;
18;144;
18;146;
18;154;
18;163;
18;164;
18;172;
18;175;
18;181;
18;184;
18;185;
18;195;
19;80;
20;8;
20;11;
20;62;
20;65;
20;113;
20;133;
20;146;
20;157;
20;186;
21;1;
22;9;
22;62;
22;88;
22;108;
22;134;
22;146;
22;174;
22;182;
22;190;
23;78;
23;166;
24;125;
25;14;
25;20;
25;88;
25;95;
25;146;
25;187;
26;9;
26;122;
27;9;
27;30;
27;79;
27;96;
27;118;
27;146;
27;176;
27;194;
28;9;
28;25;
28;36;
28;79;
28;107;
28;118;
28;141;
28;146;
28;159;
28;173;
29;9;
30;51;
30;79;
30;86;
30;91;
30;92;
30;135;
30;146;
31;9;
32;9;
32;115;
32;138;
32;146;
32;188;
33;9;
34;9;
34;62;
34;115;
34;138;
34;146;
34;162;
34;191;
35;60;
35;62;
35;90;
35;111;
35;124;
35;127;
35;146;
35;183;
35;188;
36;127;
37;90;
37;127;
37;151;
37;178;
38;90;
